protein_group	run_name	abundance
sp|P23246|SFPQ_HUMAN	collinsb_X1803_174-B	1012745.6348519449
sp|P23246|SFPQ_HUMAN	collinsb_X1803_176-B	819026.1829434483
sp|P23246|SFPQ_HUMAN	collinsb_X1803_172-B	1017179.7277559044
sp|P23246|SFPQ_HUMAN	collinsb_X1803_171-A	1023599.4041089078
sp|P23246|SFPQ_HUMAN	collinsb_X1803_173-A	849095.488887323
sp|P23246|SFPQ_HUMAN	collinsb_X1803_175-A	918239.9627307507
sp|P62399|RL5_ECOLI	collinsb_X1803_172-B	353048.50563665293
sp|P62399|RL5_ECOLI	collinsb_X1803_171-A	1732812.2977086029
sp|P62399|RL5_ECOLI	collinsb_X1803_175-A	1832014.0594230087
sp|P62399|RL5_ECOLI	collinsb_X1803_174-B	598924.7530016946
sp|P62399|RL5_ECOLI	collinsb_X1803_173-A	1741315.3816542155
sp|P62399|RL5_ECOLI	collinsb_X1803_176-B	576068.6077627641
sp|P0A7V3|RS3_ECOLI	collinsb_X1803_175-A	1662156.6739062197
sp|P0A7V3|RS3_ECOLI	collinsb_X1803_173-A	1414167.1932883027
sp|P0A7V3|RS3_ECOLI	collinsb_X1803_172-B	598008.7154437501
sp|P0A7V3|RS3_ECOLI	collinsb_X1803_174-B	630835.2824428168
sp|P0A7V3|RS3_ECOLI	collinsb_X1803_176-B	582306.2681022304
sp|P0A7V3|RS3_ECOLI	collinsb_X1803_171-A	1304040.080755174
sp|P22314|UBA1_HUMAN	collinsb_X1803_173-A	894315.7270028776
sp|P22314|UBA1_HUMAN	collinsb_X1803_172-B	971253.0728202407
sp|P22314|UBA1_HUMAN	collinsb_X1803_176-B	916671.0390675932
sp|P22314|UBA1_HUMAN	collinsb_X1803_175-A	923051.8169121855
sp|P22314|UBA1_HUMAN	collinsb_X1803_171-A	961219.7750381292
sp|P22314|UBA1_HUMAN	collinsb_X1803_174-B	953131.9911289084
tr|C8Z659|C8Z659_YEAS8	collinsb_X1803_171-A	680058.2022893565
tr|C8Z659|C8Z659_YEAS8	collinsb_X1803_175-A	677815.4539334497
tr|C8Z659|C8Z659_YEAS8	collinsb_X1803_176-B	1242502.0734544082
tr|C8Z659|C8Z659_YEAS8	collinsb_X1803_174-B	1344108.7780036584
tr|C8Z659|C8Z659_YEAS8	collinsb_X1803_172-B	1328194.9764951998
tr|C8Z659|C8Z659_YEAS8	collinsb_X1803_173-A	658548.3822853746
sp|P0A7Z4|RPOA_ECOLI	collinsb_X1803_173-A	1448878.8778474345
sp|P0A7Z4|RPOA_ECOLI	collinsb_X1803_172-B	582583.4085207642
sp|P0A7Z4|RPOA_ECOLI	collinsb_X1803_176-B	520919.718611615
sp|P0A7Z4|RPOA_ECOLI	collinsb_X1803_174-B	596023.9377305609
sp|P0A7Z4|RPOA_ECOLI	collinsb_X1803_175-A	1554922.275044953
sp|P0A7Z4|RPOA_ECOLI	collinsb_X1803_171-A	1652362.1241306914
sp|Q99536|VAT1_HUMAN	collinsb_X1803_175-A	837411.3303073192
sp|Q99536|VAT1_HUMAN	collinsb_X1803_172-B	1125615.6317578468
sp|Q99536|VAT1_HUMAN	collinsb_X1803_171-A	889705.6788551419
sp|Q99536|VAT1_HUMAN	collinsb_X1803_174-B	1090570.5816365147
sp|Q99536|VAT1_HUMAN	collinsb_X1803_173-A	778005.5118588145
sp|Q99536|VAT1_HUMAN	collinsb_X1803_176-B	946295.6560047391
tr|D3UEZ5|D3UEZ5_YEAS8	collinsb_X1803_176-B	1185895.8088476546
tr|D3UEZ5|D3UEZ5_YEAS8	collinsb_X1803_171-A	749487.1251389962
tr|D3UEZ5|D3UEZ5_YEAS8	collinsb_X1803_174-B	1212768.009669285
tr|D3UEZ5|D3UEZ5_YEAS8	collinsb_X1803_172-B	1234786.0142783853
tr|D3UEZ5|D3UEZ5_YEAS8	collinsb_X1803_173-A	755596.9681700858
tr|D3UEZ5|D3UEZ5_YEAS8	collinsb_X1803_175-A	669527.2495456005
sp|P63284|CLPB_ECOLI	collinsb_X1803_172-B	575157.3634522305
sp|P63284|CLPB_ECOLI	collinsb_X1803_176-B	547800.9201627072
sp|P63284|CLPB_ECOLI	collinsb_X1803_173-A	1443070.4825529216
sp|P63284|CLPB_ECOLI	collinsb_X1803_175-A	1550761.593507172
sp|P63284|CLPB_ECOLI	collinsb_X1803_174-B	573151.986058441
sp|P63284|CLPB_ECOLI	collinsb_X1803_171-A	1666198.6802341186
sp|Q6DD88|ATLA3_HUMAN	collinsb_X1803_173-A	869080.9573198223
sp|Q6DD88|ATLA3_HUMAN	collinsb_X1803_174-B	960194.8728933799
sp|Q6DD88|ATLA3_HUMAN	collinsb_X1803_171-A	893531.4470058655
sp|Q6DD88|ATLA3_HUMAN	collinsb_X1803_175-A	757689.0825537092
sp|Q6DD88|ATLA3_HUMAN	collinsb_X1803_176-B	959620.8923478875
sp|Q6DD88|ATLA3_HUMAN	collinsb_X1803_172-B	1241990.93732425
tr|C8ZGV7|C8ZGV7_YEAS8	collinsb_X1803_171-A	694590.0637437329
tr|C8ZGV7|C8ZGV7_YEAS8	collinsb_X1803_172-B	1134796.0099086266
tr|C8ZGV7|C8ZGV7_YEAS8	collinsb_X1803_174-B	1288845.2261371987
tr|C8ZGV7|C8ZGV7_YEAS8	collinsb_X1803_176-B	1198644.5236346952
tr|C8ZGV7|C8ZGV7_YEAS8	collinsb_X1803_175-A	728521.0220696995
tr|C8ZGV7|C8ZGV7_YEAS8	collinsb_X1803_173-A	759030.0711970348
tr|C8ZBT8|C8ZBT8_YEAS8	collinsb_X1803_175-A	703136.6871404689
tr|C8ZBT8|C8ZBT8_YEAS8	collinsb_X1803_174-B	1407757.6694922652
tr|C8ZBT8|C8ZBT8_YEAS8	collinsb_X1803_176-B	1234889.9771242165
tr|C8ZBT8|C8ZBT8_YEAS8	collinsb_X1803_173-A	599114.8943830905
tr|C8ZBT8|C8ZBT8_YEAS8	collinsb_X1803_172-B	1286601.414602124
tr|C8ZBT8|C8ZBT8_YEAS8	collinsb_X1803_171-A	714642.0094398335
